,B0,B1,B2,B3
2025-01-07,2.252803511568481,0.7688454060487214,8.195892472141209,8.195892472141209
2025-01-08,2.651619847206036,0.2057853538795588,0.2463167061220492,1.0053916698988623
2025-01-09,2.0725809953368275,0.1645737867282868,0.0965478244306262,0.0817742400070292
2025-01-10,1.471034271579131,0.1740521566999014,0.1246599349967953,0.1285141442234143
2025-01-11,0.4595011396591146,0.2198711434117011,0.1728491958976541,0.1618000348838397
2025-01-12,0.4277733380869923,0.201423280244821,0.1210124725781807,0.1518893251920257
2025-01-13,2.12619367064432,0.2268641271921709,0.0979688989274704,0.0803241542353798
2025-01-14,1.2731944176088337,0.2417553210053896,0.3324306845352993,0.5679351891737032
2025-01-15,1.5762760916974146,0.3286251622413854,1.881148605171132,8.451003654702163
2025-01-16,1.8626936702504648,0.5394724549272124,8.234943798484062,8.234943798484062
2025-01-17,0.5835073057654145,0.5973515858223453,8.041578884720703,8.041578884720703
2025-01-18,0.7440671390209634,1.4100291246358176,8.290602482284443,8.290602482284443
2025-01-19,0.8765022270855315,0.3964125120693759,8.40221939538504,8.40221939538504
2025-01-20,1.1249743419209552,0.7195315576306481,1.8906606912737205,4.615933413984412
2025-01-21,9.010252178585748,0.2927683795091185,0.3736279880933602,0.6493797466155237
2025-01-22,1.1500842374963958,0.3378782525849495,8.22297828314595,8.22297828314595
2025-01-23,1.7483944344959643,0.2913301460272446,0.3899978784737253,8.360997514882236
2025-01-24,0.954853552055323,0.3233789654572281,0.6763048510029228,1.6105941691060144
2025-01-25,0.5001460659320242,0.2582389117478232,0.2870487366397872,2.406895179346677
2025-01-26,0.3187261307262078,0.3183583127833518,0.4385771688810188,4.510130416759687
2025-01-27,3.140042751436206,0.1956913216543586,0.0995363485534672,0.0840443559842839
2025-01-28,0.978335979866218,0.1939931038284275,0.1399360552949804,0.1190918603244224
2025-01-29,0.8984572337216301,0.1729253566052296,0.0979468684079034,0.0878360664885016
Days best,11.0,0.0,6.0,6.0
Median,1.1500842374963958,0.2913301460272446,0.3736279880933602,1.6105941691060144
Mean,1.660957153554182,0.37300677055369863,2.471947227193109,3.5852934979117212
Std Dev,1.770770749803292,0.28378063089894195,3.5322350612602604,3.7183638804810237
